Country ISO Code,Predefined Name Component Type,Value,ID
NLD,SOCIAL,RA,RA_Netherlands2
NLD,SOCIAL,MBA,MBA_Netherlands2
NLD,SOCIAL,Jr,Jr_Netherlands2
NLD,HEREDITARY,zur,zur_Netherlands2
NLD,HEREDITARY,Zur,Zur_Netherlands
NLD,HEREDITARY,zum,zum_Netherlands2
NLD,HEREDITARY,Zum,Zum_Netherlands
NLD,HEREDITARY,zu,zu_Netherlands2
NLD,HEREDITARY,Zu,Zu_Netherlands
NLD,HEREDITARY,vor der,vor der_Netherlands2
NLD,HEREDITARY,Vor der,Vor der_Netherlands
NLD,HEREDITARY,vor,vor_Netherlands2
NLD,HEREDITARY,Vor,Vor_Netherlands
NLD,HEREDITARY,voor in t,voor in t_Netherlands2
NLD,HEREDITARY,Voor in t,Voor in t_Netherlands
NLD,HEREDITARY,voor in 't,voor in 't_Netherlands2
NLD,HEREDITARY,Voor in 't,Voor in 't_Netherlands
NLD,HEREDITARY,voor den,voor den_Netherlands2
NLD,HEREDITARY,Voor den,Voor den_Netherlands
NLD,HEREDITARY,voor de,voor de_Netherlands2
NLD,HEREDITARY,Voor de,Voor de_Netherlands
NLD,HEREDITARY,voor 't,voor 't_Netherlands2
NLD,HEREDITARY,Voor 't,Voor 't_Netherlands
NLD,HEREDITARY,voor,voor_Netherlands2
NLD,HEREDITARY,Voor,Voor_Netherlands
NLD,HEREDITARY,von t,von t_Netherlands2
NLD,HEREDITARY,Von t,Von t_Netherlands
NLD,HEREDITARY,von der,von der_Netherlands2
NLD,HEREDITARY,Von der,Von der_Netherlands
NLD,HEREDITARY,von den,von den_Netherlands2
NLD,HEREDITARY,Von den,Von den_Netherlands
